"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","2.83623337","0.00548147","0.3525803","0.03548539","244","6","false","Q93062","47.79508197","244","0","0","0.81637666","false","0","Q93062","27684680","0.0134929"
"73","2.90795438","0.00296122","0.34388435","0.02146844","137","6","false","Q8N9N5","46.34306569","137","0","0","0.80920456","false","0","Q8N9N5","11643156","0.01564058"
"75","2.82914169","0.00352857","0.35346409","0.06024257","123","6","false","O95967","80.44715447","123","0","0","0.81708583","false","0","O95967","14271130","0.02093469"
"77","2.99517473","8.9188E-4","0.33387034","0.10109048","117","6","false","P59991","70.93162393","117","0","0","0.80048253","false","0","P59991","4818360","0.02675501"
"79","2.90488375","0.00272109","0.34424785","0.02342048","136","7","false","P78424","49.77205882","136","0","0","0.80951162","false","0","P78424","11167158","0.01598197"
"81","3.01359848","8.3165E-4","0.33182921","0.09441441","75","6","false","P86480","67.10666667","75","0","0","0.79864015","false","0","P86480","3575540","0.02730754"
"83","2.87015646","0.00371033","0.34841306","0.05310087","159","6","false","Q15038","52.03773585","159","0","0","0.81298435","false","0","Q15038","14654146","0.01568717"
"85","3.08356485","2.6588E-4","0.32429997","0.11815336","72","6","false","Q3LI72","71.22222222","72","0","0","0.79164352","false","0","Q3LI72","1679356","0.03534602"
"87","3.12399474","3.0921E-4","0.32010297","0.08884188","62","6","false","Q8IUC2","60.93548387","62","0","0","0.78760053","false","0","Q8IUC2","1555524","0.03315461"
"89","3.29368329","1.2063E-4","0.30361146","0.08858859","37","7","false","Q8N9W6","48.16216216","37","0","0","0.77063167","false","0","Q8N9W6","721666","0.05141515"
"91","3.193888","1.8747E-4","0.31309802","0.15249663","39","6","false","Q9NWB1","64.12820513","39","0","0","0.7806112","false","0","Q9NWB1","776922","0.04460396"
"93","3.56879661","8.767E-5","0.2802065","0.0","8","7","false","P01344","55.0","8","0","0","0.74312034","false","0","P01344","273570","0.13670886"
"95","2.8726422","0.00151587","0.34811157","0.07493943","108","6","false","Q03989","87.72222222","108","0","0","0.81273578","false","0","Q03989","7857622","0.0242122"
"97","2.78637228","0.00320216","0.35888959","0.03794592","163","6","false","Q9H0I2","91.54601227","163","0","0","0.82136277","false","0","Q9H0I2","18292810","0.02141633"
"99","3.13949408","2.2348E-4","0.31852266","0.16346154","65","6","false","A8MV65","91.95384615","65","0","0","0.78605059","false","0","A8MV65","1284048","0.05024183"
"101","2.95291709","0.00133049","0.33864818","0.02494331","99","6","false","O43186","58.65656566","99","0","0","0.80470829","false","0","O43186","6186792","0.0206527"
"103","2.94326656","0.00108095","0.33975856","0.06818182","89","6","false","A5D8V6","73.56179775","89","0","0","0.80567334","false","0","A5D8V6","4657678","0.02499341"
